BaselineGDV(mode:n),BaselineGDV(mode:a),mdsGDV(mode:n),mdsGDV(mode:a),pcaGDV(mode:n),pcaGDV(mode:a)
0.0,0.0,0.0,0.0,-0.002787520838331049,0.00014971302449332837
-0.41279210676412714,-0.003964442969966592,-0.5405949218686257,0.0022089734115986743,-0.5267978629338111,0.0015727208445241996
-0.41599240076418087,-0.004074976691599879,-0.5390509574929239,0.002044196662759265,-0.563715837990262,0.0018752373021476956
-0.42238695611570887,-0.004128500465436257,-0.552610057530979,0.002194801593322359,-0.5567939071276713,0.0014602732894497276
-0.47127967903037643,-0.0029344361891039815,-0.6072591505500274,0.0025527947083036806,-0.5844762082137793,0.001484857795577373
-0.48346005328225145,-0.0021384662432390737,-0.6103091256701834,0.0029825083473575213,-0.5818448213734303,0.002326104961688007
-0.47835102726622675,-0.002034685155668666,-0.6032018282306704,0.0032913333475424354,-0.5815140047769043,0.0029215955516242046
-0.4987604888493789,-0.0009397316528426559,-0.6172355565073905,0.003997373193416884,-0.6041647097684957,0.0036440312874951135
-0.5081263490517786,-0.0010602131872903685,-0.6059249248236848,0.0033153869810683425,-0.6027442970045795,0.0033336650742066313
-0.5097274710614093,-0.0013187349039877278,-0.616336693102652,0.003444291982396494,-0.6042800779760684,0.0035093015517046826
-0.5014765311100807,-0.0019383882830302708,-0.6213296617758473,0.003722846819726528,-0.6052635244677899,0.0035762124857630175
-0.4960021968738514,-0.00243617323101567,-0.6148497827998245,0.002920702804367572,-0.6079385044364592,0.004071034526999133
-0.48462294956704627,-0.003616754846831452,-0.6065615350931314,0.003272911155203875,-0.6215292863465753,0.004100016850280285
