pca_gdv_n_gpt,pca_gdv_a_gpt,pca_gdv_n_orig,pca_gdv_a_orig,mds_gdv_n_gpt,mds_gdv_a_gpt,mds_gdv_n_orig,mds_gdv_a_orig,BaselineGDV_gpt_n,BaselineGDV_gpt_a,BaselineGDV_orig_n,BaselineGDV_orig_a
0.0012156387843756,0.0012156389997422,0.0012156387843756,0.0012156389997422,0.102374605023093,0.105807614472191,0.102374605023093,0.105807614472191,,,,
-0.1106080372164559,0.1201341086882617,-0.1705463333408974,0.0988500834759245,-0.1186237946430899,0.1207467320237739,-0.2034331828631172,0.1126188865901494,-0.1288824414941259,1.9670421195147687,-1.8341223436611427,2.1409518806769188
-0.1243510673783608,0.1024185816562891,-0.1976950067753759,0.0973476065915792,-0.1352364957518698,0.1153118164759507,-0.2006030706480649,0.1165739368528283,-0.0482282997765635,1.9276200137681552,-1.6215733370726895,2.1261314134893103
-0.13207287516538,0.1113734489663182,-0.1907411733001465,0.1013219635500149,-0.1235420962405929,0.122758708906306,-0.1933401558794181,0.120710957606943,-0.0148459398483536,1.8887242321555984,-1.6920927668697183,2.13257203026813
-0.1143565151546815,0.1060593789515007,-0.2140178138746893,0.1310313479794755,-0.0952792600069358,0.1065666628346791,-0.2160151008564428,0.1281167354845961,-0.3953714032360547,1.8003543907716382,-2.2470952156364556,2.28540071382972
-0.1332763327789768,0.1082318329572639,-0.2215838362648843,0.1244403822699401,-0.1292495539854224,0.1147086668896634,-0.1779194007615952,0.1276874932652647,-0.637774287293301,1.9331960673735924,-2.3727053555850834,2.269404775581223
-0.0986246812914064,0.1158808377591461,-0.2250895358128907,0.1161363310179069,-0.0838656678814364,0.113406062431967,-0.2096131368164826,0.1194957078715546,-0.2536356549046798,1.981953540357433,-2.2292564919595637,2.233279640292212
-0.1032598990893726,0.1198720243067161,-0.2358213147546367,0.0972245319663634,-0.1051840983408357,0.1222863530049341,-0.2292342379375999,0.1156751271770452,-0.1851547483768934,2.040187395051172,-2.5709699248060067,2.18632309763739
-0.0781215490313169,0.1142177793610224,-0.2317715180340621,0.1052303936375576,-0.0836580677646542,0.11878994883962,-0.2129294970592581,0.1121176521164855,-0.0664078773343841,2.034480643324768,-2.875781334384024,2.1734346754894913
-0.0994767924074525,0.123362321322538,-0.228575148700383,0.1015597882154959,-0.0952721342007256,0.1216562726097288,-0.2149893685654865,0.1151919282217245,-0.0858176368212826,2.059924048362914,-2.763226340210137,2.1914034926414256
-0.0918629948805389,0.1212833558214774,-0.2319840357839296,0.098237343838094,-0.0851753747979121,0.123048721145846,-0.2259576597670408,0.1150985265390125,-0.0172887133422708,2.0244938080361106,-2.6173871190075366,2.1964203407660783
-0.1048585028195327,0.1229738996896162,-0.2365079292223629,0.1094226628195493,-0.1208925193987538,0.1226518648515064,-0.1840603977928163,0.1141498934137387,-0.0611067205323299,1.9851361571288808,-2.5388109119138957,2.22377763809695
-0.1349314410499877,0.1242434821285002,-0.2310830409610959,0.1228058455178204,-0.1072781998703106,0.1128905713034518,-0.2240132301118503,0.1191987277425152,-0.2893290053592826,1.9199520673488415,-2.4961586122912753,2.2203020728942895
